Time,Command,Size,StartX,StartY,EndX,EndY,Angle,Delay,BeamTime,Extra1,Extra2
0.01,CombatZoneResizeInstant,70,226,600,391,,,,,,
0.01,CombatZoneResize,239,226,404,391,,,,,,
0,HeartTeleport,320,376,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
0,SansText,So...,,,,,,,,,
0,SansHead,,,,,,,,,,
0,SansText,here we are again... it's              the 3rd time now.,,,,,,,,,
0,SansText,you really came back for                 more?,,,,,,,,,
0,SansHead,Default,,,,,,,,,
1,SansText,I thought that maybe you                could change but it seems...,,,,,,,,,
0.1,Sound,Flash,,,,,,,,,
0,SansBody,HandRight,,,,,,,,,
0,SansHead,NoEyes,,,,,,,,,
0.5,SansText,like you'd only want to           fight now.,,,,,,,,,
0.25,SansHead,Default,,,,,,,,,
0,SansTorso,Default,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,
1,SansText,I really miss the peaceful       time we had at the 
beggining.,,,,,,,,,
0,SansTorso,Default,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
1.6,SansHead,NoEyes,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,
0,SansText,So-,,,,,,,,,
0,SansHead,Default,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,
0,SansText,did you choose your final decision?,,,,,,,,,
0,SansHead,LookLeft,,,,,,,,,
0,SansTorso,Shrug,,,,,,,,,
0,SansText,But...,,,,,,,,,
0,SansTorso,Default,,,,,,,,,
0,SansText,something tells me.,,,,,,,,Intro,
0,SansHead,BlueEye,,,,,,,,,
0,SansTorso,Shrug,,,,,,,,,
0,Gasterblaster,1,1000,1000,390,55,90,99999,1.8,,
0,Gasterblaster,1,1000,1000,250,55,90,99999,1.8,,
0,SansBody,HandUp,,,,,,,,,
0.1,SansText,That you chose it a long        time ago.,,,,,,,,,
0,mus_zz_megalovania,1,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Megalovania,,,,,,,,,
0,SansHead,Default,,,,,,,,,
0.1,Sound,Flash,,,,,,,,,
0,Gasterblaster,1,250,55,250,55,90,0.5,0.3,,
0,Gasterblaster,1,390,55,390,55,90,0.5,0.3,,
0.22,BlackScreen,0,,,,,,,,,
0,SansBody,HandUp,,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,SansSlam,3,,,,,,,,,
0.4,BoneStab,3,40,0.3,0.5,,,,,,
0,Gasterblaster,1,1000,1000,90,250,0,0.5,1.8,,
0.6,SansBody,HandDown,,,,,,,,,
0,GasterBlaster,1,100,200,320,176,90,0.5,0.2,,
0,SansSlam,1,,,,,,,,,
0.4,BoneStab,1,40,0.3,0.5,,,,,,
0.6,SansBody,HandLeft,,,,,,,,,
0,SansSlam,2,,,,,,,,,
